00768F35	dino pedreschi
01538EB1	anna monreale
018E628A	eren manavoglu
026F876F	todd c mowry
03D2919B	eugene agichtein
05E1193B	frederick h lochovsky
05FFC53A	norman sadeh
06731E1D	ruggero g pensa
067625BE	steven c h hoi
07204BF3	sebastian goebl
0738EE84	anthony k h tung
073FBF8F	kevin s mccurley
079C1B8F	mary mcglohon
07C52448	leman akoglu
088C36C7	jeanne m vanbriesen
08D88DEF	venkatesan guruswami
096B1483	sridhar machiraju
097C5971	klara nahrstedt
098BCDA9	cristian danescuniculescumizil
09989ECD	bianca wackersreuther
09F0BA79	michalis faloutsos
0A412C29	markus bundschus
0A716934	volker tresp
0A96CDC1	osman abul
0AC312E0	christos boutsidis
0AE6BF0E	elke achtert
0AF8C330	fabio fassetti
0B5C76B5	stephen j maybank
0B8DE230	guy lebanon
0C4962C1	sanjay madria
0C915F07	jon kleinberg
0CA32B8A	ina mullergorman
0CB5CBC9	lucia
0D06A29C	tina eliassirad
0D9FE97E	nancy s pollard
0E780134	arthur zimek
0EDF90AE	ravi konuru
0F26CC64	mukesh mohania
0FC3ABC5	michele berlingerio
10F8F7E8	dharmendra s modha
11726680	takashi tomokiyo
127FB6B8	hani jamjoom
12857062	heikki mannila
12A46EA6	ioannis koutis
12E05EFB	stephan gunnemann
14BAFC68	liu wenyin
14EED946	eric p xing
159B1962	anton schwaighofer
159FC85B	v g vinod vydiswaran
1755D2DA	junichi tatemura
2140D602	eamonn obrienstrain
24858D53	yahiko kambayashi
283B9290	k selcuk candan
285C426B	daniel p huttenlocher
2A97419C	benjamin w wah
2AF362E9	david m steier
2B08726A	richard sproat
2BF27CC6	aristides gionis
2CBB4D69	charalampos e tsourakakis
43BF07AB	bernhard braunmuller
47DE8715	fosca giannotti
48C399FE	ka cheung sia
4BB000C3	evan wei xiang
4C3BD8DA	silvia chelazzi
54909EFF	evangelos e papalexakis
59FB21F8	p m melliarsmith
5AE29E11	danai koutra
6AD4B4FC	ramanathan v guha
6B415DD9	ou jin
6B93198F	evgeniy gabrilovich
6CE2FCD8	d sivakumar
6D95CD53	gabriel pui cheong fung
6DAF465D	katrin haegler
6E3B7294	balaji padmanabhan
6FF9A5FC	jure leskovec
71B7CBEE	bettina konte
723B80C8	evan xiang
7263AD95	hanspeter kriegel
7271F1CA	tao xie
729696D6	daniel gruhl
733A793E	kyuyoung whang
747AE510	firat kart
75145954	jurij leskovec
7520DCB4	ming hua
7527825D	ioana stanoi
7532EDCA	henry kautz
75338B25	monique snoeck
75420279	abhay harpale
7560CC0A	markus m breunig
756B2422	christian baumgartner
757E2418	dong liu
75C1AE3F	nicholas c valler
75CB4DE3	risto a vaisanen
75D12588	john lafferty
75E739C4	li zhang
7600EDEC	david w cheung
76014D6E	nitesh v chawla
760BDC82	tudor dumitras
761650C9	neel sundaresan
761E2C23	natalie glance
761ED33D	zheng shao
762E42CA	anthony brockwell
7638D35D	stephen d bay
763D6539	xin shuai
764867A8	spiros papadimitriou
7655DEBE	ben fei
766722D0	mathaeus dejori
767FB405	michael mitzenmacher
7686F4FC	carlos guestrin
76875884	ping chen
769A1304	silvio lattanzi
769BEAEB	yasushi sakurai
769C8541	olivier verscheure
769ECF96	belle tseng
76A958AB	zechao shang
76AC2D10	raghu ramakrishnan
76B1EE27	dong xin
76B74CEB	fabio pinelli
